AgeAbove35,Accessibility,Employment,MentalHealth,YearsCodePro,Employed,Skills_dist,has_advanced_degree,salary_per_year_exp,NoHigherEd,HasTopCountry,Gender_Woman,MainBranch_NotDev
0,0,0,0,8,1,2,0,9368.444444444445,0,1,0,0
1,0,1,0,26,0,2,0,1607.5555555555557,0,0,0,0
0,0,1,0,2,1,1,0,7528.0,0,0,0,0
0,0,1,0,7,0,0,0,12926.0,0,1,0,0
0,0,1,0,5,1,2,1,7386.666666666667,0,0,0,0
1,0,1,1,22,1,2,0,7173.913043478261,0,1,0,0
0,0,1,1,3,1,1,0,1317.0,0,0,0,0
0,0,1,1,5,0,1,0,8648.0,0,1,0,0
0,0,1,1,7,0,2,0,10687.5,0,0,0,0
0,0,0,0,7,1,1,0,6000.0,0,0,0,0
0,0,1,0,9,0,0,1,6485.9,0,0,0,0
0,0,1,0,3,0,1,0,10539.5,0,1,0,0
0,0,1,1,7,0,0,0,4053.0,0,1,0,0
0,0,1,0,2,1,1,0,20000.0,0,1,0,1
0,0,0,0,5,0,0,1,8648.0,0,0,0,0
1,0,1,0,12,0,0,1,2694.4615384615386,0,0,0,1
0,0,1,0,3,1,0,0,2271.0,0,0,0,1
1,0,1,0,8,0,0,1,8287.555555555555,0,1,0,0
0,0,1,0,4,0,1,0,6746.4,0,0,0,0
0,0,1,0,8,1,1,1,3094.6666666666665,0,0,0,0
0,0,1,0,3,0,1,0,12538.25,0,1,0,0
0,0,1,0,11,1,1,1,2559.6666666666665,0,1,0,0
0,0,1,0,7,1,2,1,9728.875,0,0,0,0
0,0,1,0,3,1,1,0,20406.0,0,0,1,0
0,0,1,0,2,0,0,1,18016.333333333332,0,1,0,1
0,1,1,1,2,1,2,0,3483.3333333333335,0,0,0,0
0,0,1,0,7,1,1,1,5134.625,0,0,0,0
0,0,1,0,3,0,0,0,11349.0,0,0,0,0
0,0,1,0,2,1,0,0,6463.0,0,1,0,0
1,0,1,0,15,0,0,1,4864.4375,0,0,0,0
1,0,1,0,13,0,0,0,11428.57142857143,0,1,0,0
0,0,1,0,8,0,0,0,22267.666666666668,0,0,0,0
1,0,0,0,31,1,2,0,5781.25,0,1,0,0
0,0,1,0,9,0,0,0,10797.2,0,1,0,1
0,0,1,0,7,1,2,0,8362.125,0,0,0,0
1,0,1,0,0,1,2,0,75000.0,0,0,0,0
0,0,1,1,6,0,1,0,6924.571428571428,0,1,0,0
1,0,1,1,16,1,1,0,7058.823529411765,0,1,0,0
0,0,1,0,12,0,0,0,676.6153846153846,0,0,0,0
0,1,1,1,10,1,2,1,1179.2727272727273,0,0,1,0
0,0,0,0,3,1,2,0,1068.0,0,0,0,0
0,0,1,0,4,0,0,0,5621.0,0,0,0,0
1,0,1,0,20,0,0,0,3706.285714285714,0,0,0,0
0,0,1,0,4,0,0,1,10340.8,0,1,0,1
1,0,1,0,23,0,0,0,750.0,0,0,0,1
1,0,0,0,15,1,2,0,2702.4375,0,0,0,0
0,0,1,0,1,0,0,0,4615.5,0,0,0,0
1,0,1,0,15,1,0,0,4391.5,0,1,0,0
0,0,1,1,2,1,2,0,1796.0,0,0,0,0
0,0,1,0,13,1,0,1,8214.285714285714,0,1,0,0
0,0,1,1,12,1,2,0,11076.923076923076,0,1,1,0
0,0,1,0,4,0,0,1,13101.6,0,0,0,0
1,0,1,0,21,0,0,1,3193.818181818182,0,1,0,0
1,0,1,0,34,0,0,0,5186.142857142857,0,1,0,0
1,0,1,0,26,0,1,0,3000.0,0,0,0,0
1,0,1,0,22,0,0,0,4565.217391304348,1,1,0,0
1,0,1,0,5,1,1,1,9368.5,0,1,0,0
0,0,1,0,7,1,0,1,8078.75,0,1,0,1
0,0,1,0,10,0,0,1,10000.0,0,1,0,0
0,0,0,0,7,0,0,0,8107.5,0,0,0,0
1,0,1,1,15,1,2,0,7500.0,0,1,0,0
0,0,1,0,0,0,0,0,6360.0,0,0,0,0
0,0,1,1,6,1,2,0,6949.142857142857,1,1,0,0
0,0,1,0,11,0,1,1,4556.0,0,0,0,0
0,0,1,0,4,1,1,0,7135.2,0,0,0,0
0,0,1,0,4,0,0,0,15126.2,0,1,0,0
1,0,1,0,39,0,0,0,1750.0,0,1,0,1
0,0,1,0,9,0,0,1,5837.3,0,1,0,1
0,0,1,0,3,0,1,0,6486.0,0,0,0,0
0,0,1,0,2,0,1,0,1861.6666666666667,0,1,0,0
0,1,1,1,4,0,0,0,11600.0,0,1,1,0
0,0,1,0,6,0,1,0,8802.285714285714,0,1,0,0
1,0,1,0,13,0,0,1,4246.714285714285,0,0,0,1
0,0,1,0,3,0,0,1,13806.0,0,0,0,1
0,0,1,1,6,0,0,1,9724.0,0,1,0,0
0,0,1,1,5,0,2,0,36300.0,0,1,0,0
1,0,1,0,14,0,0,1,7927.2,0,0,0,0
0,0,1,1,1,0,0,0,20000.0,1,1,0,0
0,0,1,0,8,1,1,0,7983.333333333333,0,1,0,0
1,0,1,0,14,0,0,0,4462.266666666666,0,1,0,0
0,0,1,0,3,0,0,1,13554.0,0,0,0,0
0,0,0,0,10,1,1,0,5896.363636363636,0,0,0,0
0,0,1,0,1,0,0,0,9930.0,0,0,0,0
0,1,1,1,1,0,0,0,27444.0,0,0,0,0
0,0,1,1,7,0,2,0,7296.625,1,1,0,0
1,0,1,0,20,0,2,1,2696.0,0,0,0,0
0,0,1,1,9,1,2,1,4540.1,0,0,0,1
0,0,0,0,1,0,0,1,24052.0,0,0,0,0
1,0,0,0,20,0,0,0,4014.8571428571427,0,0,0,0
1,0,1,0,24,0,0,1,2223.28,0,1,0,0
1,0,1,0,27,0,0,0,2539.035714285714,0,1,0,0
0,0,0,0,3,1,2,0,18000.0,0,0,0,0
1,0,1,0,21,1,1,0,2761.4545454545455,0,1,0,0
0,0,1,0,4,1,2,0,5188.8,0,0,0,0
1,1,1,0,16,0,2,0,10579.882352941177,0,0,0,0
1,0,1,0,20,1,0,0,1446.2857142857142,0,0,0,0
0,0,1,1,6,1,1,1,4261.714285714285,0,0,0,0
0,0,1,0,6,1,2,0,5717.142857142857,0,0,0,0
1,0,1,0,6,0,0,1,12857.142857142857,0,1,0,1
0,0,1,0,3,1,2,0,16750.0,0,1,0,0
0,1,1,0,4,0,0,0,4335.2,0,1,0,0
1,0,1,0,16,0,0,1,5979.35294117647,0,0,0,0
0,0,1,0,4,1,2,0,3470.4,0,0,0,0
1,0,1,1,16,0,1,0,11470.588235294117,0,1,0,0
0,0,1,0,7,0,0,1,4297.5,0,0,0,0
1,0,1,0,23,0,0,1,6462.958333333333,0,1,0,0
0,0,1,0,4,1,1,1,12972.0,0,0,0,0
1,0,1,1,12,0,0,0,9479.076923076924,0,0,0,0
0,0,0,1,2,0,1,0,30000.0,0,1,0,0
0,0,1,0,1,0,0,0,14154.0,1,0,0,1
0,0,1,0,3,0,0,1,12161.0,0,0,0,0
0,0,1,0,5,0,0,0,9128.166666666666,0,0,0,0
0,0,1,0,5,1,2,0,7594.0,0,0,0,0
0,0,1,0,7,1,2,0,3178.5,0,0,0,0
0,1,1,0,12,0,0,1,2230.769230769231,0,1,0,1
0,0,1,0,6,1,2,0,24285.714285714286,0,1,0,0
0,1,1,0,3,1,2,0,4932.0,0,0,1,0
0,0,1,0,4,0,0,0,4826.4,0,0,0,0
0,0,1,0,6,1,2,0,7829.142857142857,0,0,0,0
0,0,1,0,4,1,1,0,14000.0,0,1,0,0
0,0,1,0,8,1,1,0,4714.666666666667,0,0,0,0
1,0,0,0,10,1,1,1,8844.363636363636,0,0,0,0
0,0,1,0,2,0,0,0,13333.333333333334,1,1,0,0
0,0,1,1,4,1,2,0,8042.4,0,0,0,0
0,0,1,0,4,1,2,0,3081.6,0,0,0,0
0,0,1,0,6,0,0,1,7746.285714285715,0,1,0,0
0,0,1,0,7,1,1,1,10164.875,0,0,0,0
1,0,1,1,4,0,0,0,17000.0,0,1,0,1
0,0,1,0,1,1,2,0,32429.5,0,1,0,0
1,0,1,0,30,1,1,1,2008.6451612903227,0,0,0,0
0,0,1,1,5,1,2,0,5291.666666666667,0,1,0,0
0,0,1,0,2,1,2,1,33333.333333333336,0,1,0,0
0,0,1,0,3,0,1,0,23000.0,0,1,0,0
0,0,1,0,4,0,1,0,6918.2,0,0,0,0
1,0,1,0,10,1,2,0,8409.09090909091,0,0,0,0
0,0,1,0,12,0,0,1,10384.615384615385,0,1,0,0
0,0,1,1,5,1,2,0,11848.833333333334,0,1,0,0
0,0,1,0,5,0,0,0,7126.0,0,0,0,0
0,0,1,0,4,1,1,0,30000.0,0,1,0,0
1,0,1,1,19,1,1,0,3250.0,0,1,0,0
1,0,0,0,17,1,1,0,1441.3333333333333,1,1,0,0
1,0,1,0,20,0,0,1,3088.5238095238096,0,0,0,1
1,0,1,0,15,0,0,0,3040.25,0,0,0,0
0,0,1,0,3,0,0,0,8918.0,0,0,0,0
0,0,1,0,7,0,0,1,8107.5,0,0,0,0
0,0,1,1,3,0,0,0,14863.5,0,1,0,0
0,0,1,0,9,1,0,1,4539.6,0,0,0,0
1,1,0,1,20,1,2,0,926.2857142857143,0,1,0,0
0,0,1,1,2,1,2,0,7404.0,0,0,1,0
0,0,1,0,11,1,2,0,5000.0,0,0,0,0
1,0,1,0,35,0,0,1,3055.5555555555557,0,1,0,0
0,0,1,0,9,1,1,0,5383.2,0,0,0,0
0,0,1,0,2,1,2,1,6026.666666666667,0,0,0,0
0,0,1,0,3,0,1,0,7782.0,0,1,0,0
0,0,1,0,12,1,2,0,7400.307692307692,0,0,0,0
0,0,1,0,3,0,0,0,1362.0,0,0,0,0
0,0,1,0,6,0,2,1,12662.857142857143,0,0,0,0
0,0,1,0,2,1,2,0,6846.333333333333,0,0,0,0
1,0,1,1,21,1,0,1,8636.363636363636,0,1,0,0
1,0,1,0,10,0,0,1,4524.090909090909,0,1,0,0
0,0,1,0,8,0,0,0,6418.333333333333,0,1,0,0
0,0,1,0,3,0,0,0,10000.0,0,1,0,0
0,0,1,0,2,0,1,0,12480.0,1,1,0,0
0,0,0,0,1,1,2,0,5862.0,0,1,0,0
1,0,1,0,13,0,1,0,7986.714285714285,0,0,0,0
0,0,1,0,4,0,1,1,26600.0,0,1,0,0
1,0,1,0,13,1,0,0,4941.642857142857,0,1,0,0
0,0,1,1,6,0,0,0,9248.142857142857,0,0,0,0
0,0,1,0,8,0,0,0,5284.777777777777,0,0,0,0
1,0,1,0,12,0,1,0,9146.76923076923,0,0,0,0
0,0,1,0,6,1,1,1,9883.285714285714,0,0,0,0
0,0,1,0,8,1,2,0,3257.777777777778,0,1,0,0
1,0,1,0,8,0,1,0,7807.111111111111,0,0,0,0
0,0,1,0,0,0,0,0,4008.0,0,0,1,0
0,0,1,0,5,0,0,1,25000.0,0,1,0,1
1,0,1,0,21,1,2,0,2358.5454545454545,0,0,0,0
1,0,1,1,7,1,2,1,8107.375,0,0,0,0
1,0,1,0,17,1,1,1,3303.0,0,0,0,0
1,0,0,0,17,0,0,0,4375.0,0,1,1,0
0,0,1,1,5,0,1,1,6125.5,0,0,0,1
0,0,1,0,0,0,0,0,6981.0,0,1,0,0
1,0,1,0,19,1,1,0,6250.0,0,1,0,1
0,0,1,0,10,0,0,0,5804.909090909091,0,1,0,0
1,0,1,1,10,1,2,0,11271.272727272728,0,1,0,0
0,0,1,0,10,0,1,0,2358.5454545454545,0,0,0,0
0,0,0,0,0,1,2,0,2508.0,0,1,0,0
0,0,1,1,4,0,1,1,9296.4,0,0,0,1
0,0,1,0,5,1,1,1,1298.0,0,0,0,0
0,0,0,0,5,1,1,0,12000.0,0,1,0,0
