id,HaveWorkedWith
38,Microsoft SQL Server
38,MongoDB
38,PostgreSQL
38,SQLite
39,Python
39,Docker
39,Git
39,Django
39,AWS
40,Bash/Shell
40,C#
40,HTML/CSS
40,JavaScript
40,PowerShell
40,SQL
40,TypeScript
40,Git
40,Angular
40,ASP.NET
40,ASP.NET Core 
40,jQuery
40,Microsoft Azure
40,Microsoft SQL Server
41,Go
41,JavaScript
41,Node.js
41,PHP
41,TypeScript
41,Git
41,React.js
41,Microsoft SQL Server
42,HTML/CSS
42,Java
42,JavaScript
42,Node.js
42,Python
42,SQL
42,Docker
42,Git
42,jQuery
42,Spring
42,Microsoft SQL Server
42,MongoDB
42,PostgreSQL
43,HTML/CSS
43,JavaScript
43,Python
43,Docker
43,Angular.js
43,Django
43,React.js
43,DigitalOcean
43,MySQL
43,PostgreSQL
43,Redis
44,Bash/Shell
44,C#
44,Dart
44,Go
44,HTML/CSS
44,JavaScript
44,Node.js
44,PowerShell
44,Python
44,SQL
44,TypeScript
44,Ansible
44,Docker
44,Git
44,Kubernetes
44,Terraform
44,Xamarin
44,ASP.NET
44,ASP.NET Core 
44,Express
44,Flask
44,React.js
44,AWS
44,Microsoft Azure
44,Couchbase
44,DynamoDB
44,Elasticsearch
44,Microsoft SQL Server
44,MongoDB
44,MySQL
44,PostgreSQL
44,Redis
44,SQLite
45,Bash/Shell
45,HTML/CSS
45,Java
45,JavaScript
45,PHP
45,Python
45,Scala
45,SQL
45,VBA
45,Git
45,jQuery
45,React.js
45,Vue.js
45,AWS
45,MySQL
45,Oracle
45,PostgreSQL
46,Bash/Shell
46,HTML/CSS
46,Java
46,JavaScript
46,Kotlin
46,Node.js
46,Python
46,SQL
46,TypeScript
46,Docker
46,Git
46,Angular
46,React.js
46,Spring
46,MariaDB
46,MySQL
46,PostgreSQL
47,HTML/CSS
47,JavaScript
47,Node.js
47,Git
47,Express
47,React.js
47,Heroku
47,MongoDB
48,C#
48,HTML/CSS
48,JavaScript
48,SQL
48,VBA
48,Angular.js
48,ASP.NET
48,ASP.NET Core 
48,jQuery
48,Microsoft Azure
48,DynamoDB
48,Elasticsearch
48,Microsoft SQL Server
48,SQLite
49,C
49,C#
49,C++
49,Dart
49,HTML/CSS
49,Java
49,JavaScript
49,PHP
49,Python
49,Git
49,Kubernetes
49,Xamarin
49,Yarn
49,jQuery
49,Laravel
49,React.js
49,Symfony
49,Vue.js
49,AWS
49,DigitalOcean
49,Heroku
49,Firebase
49,MongoDB
49,MySQL
49,Redis
49,SQLite
50,Bash/Shell
50,Python
50,Docker
50,Git
50,Puppet
50,AWS
50,MySQL
51,Kotlin
51,Objective-C
51,SQL
51,Swift
51,Git
51,AWS
51,Google Cloud Platform
52,Bash/Shell
52,C#
52,HTML/CSS
52,JavaScript
52,TypeScript
52,Git
52,ASP.NET
52,Vue.js
52,AWS
52,Microsoft SQL Server
53,C#
53,HTML/CSS
53,JavaScript
53,Node.js
53,PHP
53,PowerShell
53,SQL
53,Git
53,Angular
53,Angular.js
53,ASP.NET
53,ASP.NET Core 
53,jQuery
53,Vue.js
53,Microsoft Azure
53,Elasticsearch
53,Microsoft SQL Server
53,MySQL
53,SQLite
54,Bash/Shell
54,C
54,C++
54,HTML/CSS
54,Java
54,JavaScript
54,PHP
54,Python
54,Docker
54,Git
54,Kubernetes
54,Puppet
54,Unity 3D
54,Angular
54,jQuery
54,Laravel
54,React.js
54,Symfony
54,AWS
54,DigitalOcean
54,Elasticsearch
54,MySQL
54,SQLite
55,C#
55,Java
55,JavaScript
55,Python
55,SQL
55,Ansible
55,Chef
55,Docker
55,Terraform
55,Unity 3D
55,ASP.NET
55,ASP.NET Core 
55,Django
55,AWS
55,Microsoft Azure
55,Elasticsearch
55,MongoDB
55,MySQL
55,PostgreSQL
55,SQLite
56,Go
56,JavaScript
56,Python
56,SQL
56,TypeScript
56,VBA
56,Ansible
56,Docker
56,Git
56,Yarn
56,Django
56,FastAPI
56,Flask
56,Gatsby
56,jQuery
56,React.js
56,AWS
56,Google Cloud Platform
56,Microsoft Azure
56,Elasticsearch
56,MariaDB
56,Microsoft SQL Server
56,MongoDB
56,MySQL
56,Oracle
56,PostgreSQL
56,Redis
56,SQLite
57,C#
57,Delphi
57,JavaScript
57,Node.js
57,TypeScript
57,Git
57,Angular
57,ASP.NET Core 
57,Microsoft Azure
57,Microsoft SQL Server
58,JavaScript
58,Swift
